,Unnamed: 0,channel_id,channel_title_name,totalchannel_views_count,total_subscriber_count,total_video_count,playlist_id,playlist_name,video_id,title_name,liveBroadcastContent,total_views_count,publishing_date,likeCount,favoriteCount,commentCount
46,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",jY7LyJ-UA80,Input a List using Loops in Python,none,9706,2023-07-31T13:30:16Z,155,0,total_comment_count
47,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",paVL-trB1KA,Input a List using split() Method in Python,none,9023,2023-08-01T15:00:42Z,168,0,total_comment_count
48,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",OK0N7KWSBbo,Input a List using split() Method and Loops in Python,none,4880,2023-08-02T15:00:32Z,91,0,total_comment_count
49,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",KuyPs2zP8Uo,Changing List Items in Python,none,4469,2023-08-03T13:30:12Z,89,0,total_comment_count
50,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",f8YtlYffg7g,Removing List Items in Python,none,4028,2023-08-04T14:00:35Z,92,0,total_comment_count
51,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",-_L0SHhFMC4,List Comprehension in Python,none,5686,2023-08-06T14:45:00Z,118,0,total_comment_count
52,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",IpfE8qKtkCk,Python Programming - Rapid Fire Quiz 2,none,3648,2023-08-08T13:30:11Z,106,0,total_comment_count
53,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",Hea64Ey_gVU,Introduction to Dictionaries in Python,none,4909,2023-08-11T13:45:01Z,102,0,total_comment_count
54,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",6RAWUwWmlOg,Accessing Dictionary Items in Python,none,4360,2023-08-12T16:45:00Z,91,0,total_comment_count
55,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",HXDN0lrJ6xM,Changing and Adding Dictionary Items in Python,none,4583,2023-08-13T17:02:05Z,87,0,total_comment_count
